product_id,product_name,category,subcategory,brand,supplier,unit_cost,selling_price,source_system
200000,HP Women Model 1,Clothing,Women,HP,HP Supplier,1199.12,1400.3,PRODUCT_SYSTEM
200001,Sony Men Model 2,Clothing,Men,Sony,Sony Supplier,609.98,961.25,PRODUCT_SYSTEM
200002,Lenovo Kitchen Model 3,Home,Kitchen,Lenovo,Lenovo Supplier,788.31,1009.66,PRODUCT_SYSTEM
200003,Samsung Accessories Model 4,Electronics,Accessories,Samsung,Samsung Supplier,232.0,383.64,PRODUCT_SYSTEM
200004,Sony Fitness Model 5,Sports,Fitness,Sony,Sony Supplier,202.27,269.89,PRODUCT_SYSTEM
200005,Lenovo Kitchen Model 6,Home,Kitchen,Lenovo,Lenovo Supplier,338.0,481.05,PRODUCT_SYSTEM
200006,Sony Men Model 7,Clothing,Men,Sony,Sony Supplier,170.74,231.06,PRODUCT_SYSTEM
200007,Adidas Women Model 8,Clothing,Women,Adidas,Adidas Supplier,1077.95,1410.93,PRODUCT_SYSTEM
200008,Lenovo Laptops Model 9,Electronics,Laptops,Lenovo,Lenovo Supplier,525.39,609.14,PRODUCT_SYSTEM
200009,Sony Accessories Model 10,Electronics,Accessories,Sony,Sony Supplier,417.22,483.3,PRODUCT_SYSTEM
200010,Apple Fitness Model 11,Sports,Fitness,Apple,Apple Supplier,973.51,1177.83,PRODUCT_SYSTEM
200011,Dell Kitchen Model 12,Home,Kitchen,Dell,Dell Supplier,1001.5,1175.32,PRODUCT_SYSTEM
200012,Apple Fitness Model 13,Sports,Fitness,Apple,Apple Supplier,550.28,674.1,PRODUCT_SYSTEM
200013,Apple Monitors Model 14,Electronics,Monitors,Apple,Apple Supplier,703.44,1175.49,PRODUCT_SYSTEM
200014,Samsung Personal Care Model 15,Beauty,Personal Care,Samsung,Samsung Supplier,493.4,605.31,PRODUCT_SYSTEM
200015,Adidas Fitness Model 16,Sports,Fitness,Adidas,Adidas Supplier,329.14,403.66,PRODUCT_SYSTEM
200016,Samsung Laptops Model 17,Electronics,Laptops,Samsung,Samsung Supplier,61.35,75.86,PRODUCT_SYSTEM
200017,Dell Kitchen Model 18,Home,Kitchen,Dell,Dell Supplier,967.32,1685.64,PRODUCT_SYSTEM
200018,Sony Accessories Model 19,Electronics,Accessories,Sony,Sony Supplier,311.95,382.89,PRODUCT_SYSTEM
200019,Sony Supplies Model 20,Office,Supplies,Sony,Sony Supplier,10.05,13.48,PRODUCT_SYSTEM
200020,Adidas Fitness Model 21,Sports,Fitness,Adidas,Adidas Supplier,843.85,1096.81,PRODUCT_SYSTEM
200021,Lenovo Personal Care Model 22,Beauty,Personal Care,Lenovo,Lenovo Supplier,895.38,1428.66,PRODUCT_SYSTEM
200022,Samsung Men Model 23,Clothing,Men,Samsung,Samsung Supplier,921.55,1524.18,PRODUCT_SYSTEM
200023,Samsung Men Model 24,Clothing,Men,Samsung,Samsung Supplier,965.51,1518.23,PRODUCT_SYSTEM
200024,Adidas Monitors Model 25,Electronics,Monitors,Adidas,Adidas Supplier,1034.43,1550.18,PRODUCT_SYSTEM
200025,Lenovo Laptops Model 26,Electronics,Laptops,Lenovo,Lenovo Supplier,1097.76,1444.75,PRODUCT_SYSTEM
200026,Samsung Fitness Model 27,Sports,Fitness,Samsung,Samsung Supplier,25.71,36.25,PRODUCT_SYSTEM
200027,HP Kitchen Model 28,Home,Kitchen,HP,HP Supplier,573.26,862.03,PRODUCT_SYSTEM
200028,Lenovo Monitors Model 29,Electronics,Monitors,Lenovo,Lenovo Supplier,817.3,1013.43,PRODUCT_SYSTEM
200029,Dell Accessories Model 30,Electronics,Accessories,Dell,Dell Supplier,308.83,545.57,PRODUCT_SYSTEM
200030,Sony Monitors Model 31,Electronics,Monitors,Sony,Sony Supplier,34.56,53.89,PRODUCT_SYSTEM
200031,Logitech Monitors Model 32,Electronics,Monitors,Logitech,Logitech Supplier,1158.93,1813.13,PRODUCT_SYSTEM
200032,Generic Kitchen Model 33,Home,Kitchen,Generic,Generic Supplier,162.59,246.34,PRODUCT_SYSTEM
200033,Apple Men Model 34,Clothing,Men,Apple,Apple Supplier,234.03,390.52,PRODUCT_SYSTEM
200034,Sony Personal Care Model 35,Beauty,Personal Care,Sony,Sony Supplier,211.67,249.81,PRODUCT_SYSTEM
200035,Sony Furniture Model 36,Home,Furniture,Sony,Sony Supplier,175.86,253.7,PRODUCT_SYSTEM
200036,Sony Fitness Model 37,Sports,Fitness,Sony,Sony Supplier,800.25,1198.95,PRODUCT_SYSTEM
200037,Samsung Accessories Model 38,Electronics,Accessories,Samsung,Samsung Supplier,380.9,537.67,PRODUCT_SYSTEM
200038,Lenovo Monitors Model 39,Electronics,Monitors,Lenovo,Lenovo Supplier,870.55,1134.8,PRODUCT_SYSTEM
200039,Sony Laptops Model 40,Electronics,Laptops,Sony,Sony Supplier,1021.08,1770.54,PRODUCT_SYSTEM
200040,HP Personal Care Model 41,Beauty,Personal Care,HP,HP Supplier,987.81,1268.87,PRODUCT_SYSTEM
200041,Logitech Kitchen Model 42,Home,Kitchen,Logitech,Logitech Supplier,766.42,1265.12,PRODUCT_SYSTEM
200042,Lenovo Supplies Model 43,Office,Supplies,Lenovo,Lenovo Supplier,372.76,649.18,PRODUCT_SYSTEM
200043,Generic Furniture Model 44,Home,Furniture,Generic,Generic Supplier,579.9,968.25,PRODUCT_SYSTEM
200044,Dell Laptops Model 45,Electronics,Laptops,Dell,Dell Supplier,171.65,299.4,PRODUCT_SYSTEM
200045,Logitech Fitness Model 46,Sports,Fitness,Logitech,Logitech Supplier,293.0,513.87,PRODUCT_SYSTEM
200046,HP Men Model 47,Clothing,Men,HP,HP Supplier,765.81,1170.7,PRODUCT_SYSTEM
200047,Generic Men Model 48,Clothing,Men,Generic,Generic Supplier,331.46,473.09,PRODUCT_SYSTEM
200048,Nike Fitness Model 49,Sports,Fitness,Nike,Nike Supplier,430.41,557.91,PRODUCT_SYSTEM
200049,Nike Fitness Model 50,Sports,Fitness,Nike,Nike Supplier,455.67,799.63,PRODUCT_SYSTEM
200050,Generic Kitchen Model 51,Home,Kitchen,Generic,Generic Supplier,858.74,1076.7,PRODUCT_SYSTEM
200051,Dell Women Model 52,Clothing,Women,Dell,Dell Supplier,474.64,716.21,PRODUCT_SYSTEM
200052,Apple Kitchen Model 53,Home,Kitchen,Apple,Apple Supplier,258.94,339.53,PRODUCT_SYSTEM
200053,Samsung Accessories Model 54,Electronics,Accessories,Samsung,Samsung Supplier,137.18,246.32,PRODUCT_SYSTEM
200054,HP Kitchen Model 55,Home,Kitchen,HP,HP Supplier,243.52,291.02,PRODUCT_SYSTEM
200055,Sony Kitchen Model 56,Home,Kitchen,Sony,Sony Supplier,830.96,991.54,PRODUCT_SYSTEM
200056,Lenovo Kitchen Model 57,Home,Kitchen,Lenovo,Lenovo Supplier,118.63,131.85,PRODUCT_SYSTEM
200057,Adidas Personal Care Model 58,Beauty,Personal Care,Adidas,Adidas Supplier,234.02,412.12,PRODUCT_SYSTEM
200058,Apple Laptops Model 59,Electronics,Laptops,Apple,Apple Supplier,404.55,587.22,PRODUCT_SYSTEM
200059,Adidas Personal Care Model 60,Beauty,Personal Care,Adidas,Adidas Supplier,234.32,317.74,PRODUCT_SYSTEM
200060,Lenovo Kitchen Model 61,Home,Kitchen,Lenovo,Lenovo Supplier,699.6,927.58,PRODUCT_SYSTEM
200061,Adidas Monitors Model 62,Electronics,Monitors,Adidas,Adidas Supplier,1088.47,1564.01,PRODUCT_SYSTEM
200062,Logitech Supplies Model 63,Office,Supplies,Logitech,Logitech Supplier,745.24,1120.59,PRODUCT_SYSTEM
200063,Apple Laptops Model 64,Electronics,Laptops,Apple,Apple Supplier,388.36,696.46,PRODUCT_SYSTEM
200064,Sony Furniture Model 65,Home,Furniture,Sony,Sony Supplier,114.03,168.77,PRODUCT_SYSTEM
200065,HP Men Model 66,Clothing,Men,HP,HP Supplier,47.88,82.89,PRODUCT_SYSTEM
200066,Apple Supplies Model 67,Office,Supplies,Apple,Apple Supplier,791.16,1400.78,PRODUCT_SYSTEM
200067,Sony Supplies Model 68,Office,Supplies,Sony,Sony Supplier,1083.95,1474.91,PRODUCT_SYSTEM
200068,Lenovo Furniture Model 69,Home,Furniture,Lenovo,Lenovo Supplier,1172.65,1320.59,PRODUCT_SYSTEM
200069,Sony Personal Care Model 70,Beauty,Personal Care,Sony,Sony Supplier,214.43,345.15,PRODUCT_SYSTEM
200070,Adidas Laptops Model 71,Electronics,Laptops,Adidas,Adidas Supplier,402.47,533.24,PRODUCT_SYSTEM
200071,Dell Furniture Model 72,Home,Furniture,Dell,Dell Supplier,178.16,290.42,PRODUCT_SYSTEM
200072,HP Monitors Model 73,Electronics,Monitors,HP,HP Supplier,407.6,611.95,PRODUCT_SYSTEM
200073,Generic Personal Care Model 74,Beauty,Personal Care,Generic,Generic Supplier,1014.91,1642.52,PRODUCT_SYSTEM
200074,Samsung Personal Care Model 75,Beauty,Personal Care,Samsung,Samsung Supplier,1096.05,1259.44,PRODUCT_SYSTEM
200075,Dell Men Model 76,Clothing,Men,Dell,Dell Supplier,522.88,698.91,PRODUCT_SYSTEM
200076,Lenovo Furniture Model 77,Home,Furniture,Lenovo,Lenovo Supplier,973.09,1150.83,PRODUCT_SYSTEM
200077,Dell Monitors Model 78,Electronics,Monitors,Dell,Dell Supplier,776.84,1271.68,PRODUCT_SYSTEM
200078,Samsung Furniture Model 79,Home,Furniture,Samsung,Samsung Supplier,659.78,1035.46,PRODUCT_SYSTEM
200079,HP Accessories Model 80,Electronics,Accessories,HP,HP Supplier,245.31,304.14,PRODUCT_SYSTEM
200080,Sony Monitors Model 81,Electronics,Monitors,Sony,Sony Supplier,324.68,544.99,PRODUCT_SYSTEM
200081,Dell Personal Care Model 82,Beauty,Personal Care,Dell,Dell Supplier,566.34,684.84,PRODUCT_SYSTEM
200082,Lenovo Monitors Model 83,Electronics,Monitors,Lenovo,Lenovo Supplier,408.83,538.87,PRODUCT_SYSTEM
200083,Dell Women Model 84,Clothing,Women,Dell,Dell Supplier,1050.27,1228.45,PRODUCT_SYSTEM
200084,Lenovo Kitchen Model 85,Home,Kitchen,Lenovo,Lenovo Supplier,665.88,1175.44,PRODUCT_SYSTEM
200085,Dell Fitness Model 86,Sports,Fitness,Dell,Dell Supplier,146.27,184.91,PRODUCT_SYSTEM
200086,Samsung Laptops Model 87,Electronics,Laptops,Samsung,Samsung Supplier,150.93,188.1,PRODUCT_SYSTEM
200087,HP Kitchen Model 88,Home,Kitchen,HP,HP Supplier,54.69,67.97,PRODUCT_SYSTEM
200088,Generic Supplies Model 89,Office,Supplies,Generic,Generic Supplier,720.62,1260.26,PRODUCT_SYSTEM
200089,Dell Furniture Model 90,Home,Furniture,Dell,Dell Supplier,242.6,285.07,PRODUCT_SYSTEM
200090,Logitech Monitors Model 91,Electronics,Monitors,Logitech,Logitech Supplier,964.96,1607.59,PRODUCT_SYSTEM
200091,Samsung Monitors Model 92,Electronics,Monitors,Samsung,Samsung Supplier,375.82,480.52,PRODUCT_SYSTEM
200092,Lenovo Fitness Model 93,Sports,Fitness,Lenovo,Lenovo Supplier,838.08,997.06,PRODUCT_SYSTEM
200093,Dell Personal Care Model 94,Beauty,Personal Care,Dell,Dell Supplier,1152.22,2011.15,PRODUCT_SYSTEM
200094,Samsung Fitness Model 95,Sports,Fitness,Samsung,Samsung Supplier,98.53,124.04,PRODUCT_SYSTEM
200095,Sony Kitchen Model 96,Home,Kitchen,Sony,Sony Supplier,22.29,30.51,PRODUCT_SYSTEM
200096,Sony Monitors Model 97,Electronics,Monitors,Sony,Sony Supplier,505.81,596.35,PRODUCT_SYSTEM
200097,Apple Accessories Model 98,Electronics,Accessories,Apple,Apple Supplier,415.14,743.01,PRODUCT_SYSTEM
200098,Generic Kitchen Model 99,Home,Kitchen,Generic,Generic Supplier,671.68,860.05,PRODUCT_SYSTEM
200099,HP Men Model 100,Clothing,Men,HP,HP Supplier,267.74,332.01,PRODUCT_SYSTEM
200100,Apple Laptops Model 101,Electronics,Laptops,Apple,Apple Supplier,578.04,844.52,PRODUCT_SYSTEM
200101,Logitech Furniture Model 102,Home,Furniture,Logitech,Logitech Supplier,446.52,557.16,PRODUCT_SYSTEM
200102,Lenovo Furniture Model 103,Home,Furniture,Lenovo,Lenovo Supplier,1090.66,1409.92,PRODUCT_SYSTEM
200103,HP Men Model 104,Clothing,Men,HP,HP Supplier,137.71,154.31,PRODUCT_SYSTEM
200104,Nike Laptops Model 105,Electronics,Laptops,Nike,Nike Supplier,797.51,1093.04,PRODUCT_SYSTEM
200105,Samsung Women Model 106,Clothing,Women,Samsung,Samsung Supplier,406.65,540.66,PRODUCT_SYSTEM
200106,Logitech Women Model 107,Clothing,Women,Logitech,Logitech Supplier,609.99,909.5,PRODUCT_SYSTEM
200107,Dell Fitness Model 108,Sports,Fitness,Dell,Dell Supplier,173.37,298.94,PRODUCT_SYSTEM
200108,Adidas Supplies Model 109,Office,Supplies,Adidas,Adidas Supplier,586.35,645.86,PRODUCT_SYSTEM
200109,Apple Supplies Model 110,Office,Supplies,Apple,Apple Supplier,577.75,718.73,PRODUCT_SYSTEM
200110,Apple Personal Care Model 111,Beauty,Personal Care,Apple,Apple Supplier,580.08,689.78,PRODUCT_SYSTEM
200111,Adidas Kitchen Model 112,Home,Kitchen,Adidas,Adidas Supplier,379.94,678.12,PRODUCT_SYSTEM
200112,Lenovo Furniture Model 113,Home,Furniture,Lenovo,Lenovo Supplier,514.16,724.65,PRODUCT_SYSTEM
200113,Logitech Monitors Model 114,Electronics,Monitors,Logitech,Logitech Supplier,908.87,1470.81,PRODUCT_SYSTEM
200114,Adidas Accessories Model 115,Electronics,Accessories,Adidas,Adidas Supplier,478.85,595.2,PRODUCT_SYSTEM
200115,Nike Personal Care Model 116,Beauty,Personal Care,Nike,Nike Supplier,404.16,583.03,PRODUCT_SYSTEM
200116,Dell Monitors Model 117,Electronics,Monitors,Dell,Dell Supplier,221.99,288.84,PRODUCT_SYSTEM
200117,Generic Supplies Model 118,Office,Supplies,Generic,Generic Supplier,990.81,1604.85,PRODUCT_SYSTEM
200118,Logitech Personal Care Model 119,Beauty,Personal Care,Logitech,Logitech Supplier,686.19,832.23,PRODUCT_SYSTEM
200119,Samsung Men Model 120,Clothing,Men,Samsung,Samsung Supplier,616.53,999.83,PRODUCT_SYSTEM
200120,Adidas Accessories Model 121,Electronics,Accessories,Adidas,Adidas Supplier,1064.83,1261.06,PRODUCT_SYSTEM
200121,Lenovo Supplies Model 122,Office,Supplies,Lenovo,Lenovo Supplier,444.7,683.7,PRODUCT_SYSTEM
200122,Apple Fitness Model 123,Sports,Fitness,Apple,Apple Supplier,356.18,435.59,PRODUCT_SYSTEM
200123,Sony Men Model 124,Clothing,Men,Sony,Sony Supplier,369.51,526.68,PRODUCT_SYSTEM
200124,Lenovo Laptops Model 125,Electronics,Laptops,Lenovo,Lenovo Supplier,340.29,393.06,PRODUCT_SYSTEM
200125,HP Furniture Model 126,Home,Furniture,HP,HP Supplier,601.98,1073.3,PRODUCT_SYSTEM
200126,Generic Accessories Model 127,Electronics,Accessories,Generic,Generic Supplier,1016.75,1683.5,PRODUCT_SYSTEM
200127,Sony Kitchen Model 128,Home,Kitchen,Sony,Sony Supplier,1115.93,1408.59,PRODUCT_SYSTEM
200128,Apple Supplies Model 129,Office,Supplies,Apple,Apple Supplier,490.1,716.49,PRODUCT_SYSTEM
200129,Generic Furniture Model 130,Home,Furniture,Generic,Generic Supplier,301.1,499.7,PRODUCT_SYSTEM
200130,Lenovo Personal Care Model 131,Beauty,Personal Care,Lenovo,Lenovo Supplier,36.68,58.32,PRODUCT_SYSTEM
200131,Logitech Fitness Model 132,Sports,Fitness,Logitech,Logitech Supplier,653.64,786.54,PRODUCT_SYSTEM
200132,Dell Personal Care Model 133,Beauty,Personal Care,Dell,Dell Supplier,721.48,1089.21,PRODUCT_SYSTEM
200133,Adidas Men Model 134,Clothing,Men,Adidas,Adidas Supplier,826.5,1181.5,PRODUCT_SYSTEM
200134,Sony Supplies Model 135,Office,Supplies,Sony,Sony Supplier,966.59,1347.18,PRODUCT_SYSTEM
200135,Logitech Laptops Model 136,Electronics,Laptops,Logitech,Logitech Supplier,798.2,1240.66,PRODUCT_SYSTEM
200136,Lenovo Women Model 137,Clothing,Women,Lenovo,Lenovo Supplier,607.75,1019.7,PRODUCT_SYSTEM
200137,Generic Supplies Model 138,Office,Supplies,Generic,Generic Supplier,223.65,339.55,PRODUCT_SYSTEM
200138,Sony Personal Care Model 139,Beauty,Personal Care,Sony,Sony Supplier,1111.73,1311.59,PRODUCT_SYSTEM
200139,Generic Accessories Model 140,Electronics,Accessories,Generic,Generic Supplier,770.69,1006.82,PRODUCT_SYSTEM
200140,Adidas Kitchen Model 141,Home,Kitchen,Adidas,Adidas Supplier,1001.88,1728.4,PRODUCT_SYSTEM
200141,Nike Men Model 142,Clothing,Men,Nike,Nike Supplier,154.3,248.92,PRODUCT_SYSTEM
200142,Generic Supplies Model 143,Office,Supplies,Generic,Generic Supplier,101.39,156.53,PRODUCT_SYSTEM
200143,Generic Personal Care Model 144,Beauty,Personal Care,Generic,Generic Supplier,319.64,536.99,PRODUCT_SYSTEM
200144,Lenovo Furniture Model 145,Home,Furniture,Lenovo,Lenovo Supplier,360.51,567.97,PRODUCT_SYSTEM
200145,Samsung Men Model 146,Clothing,Men,Samsung,Samsung Supplier,696.24,824.04,PRODUCT_SYSTEM
200146,Sony Women Model 147,Clothing,Women,Sony,Sony Supplier,1036.1,1171.17,PRODUCT_SYSTEM
200147,Sony Monitors Model 148,Electronics,Monitors,Sony,Sony Supplier,539.38,856.45,PRODUCT_SYSTEM
200148,Samsung Women Model 149,Clothing,Women,Samsung,Samsung Supplier,1161.67,1349.42,PRODUCT_SYSTEM
200149,Lenovo Personal Care Model 150,Beauty,Personal Care,Lenovo,Lenovo Supplier,136.77,212.6,PRODUCT_SYSTEM
200150,Adidas Supplies Model 151,Office,Supplies,Adidas,Adidas Supplier,1027.82,1226.68,PRODUCT_SYSTEM
200151,Sony Women Model 152,Clothing,Women,Sony,Sony Supplier,826.68,1438.92,PRODUCT_SYSTEM
200152,Nike Accessories Model 153,Electronics,Accessories,Nike,Nike Supplier,1167.6,1806.73,PRODUCT_SYSTEM
200153,Apple Women Model 154,Clothing,Women,Apple,Apple Supplier,321.24,426.66,PRODUCT_SYSTEM
200154,Samsung Monitors Model 155,Electronics,Monitors,Samsung,Samsung Supplier,1111.89,1897.92,PRODUCT_SYSTEM
200155,Generic Personal Care Model 156,Beauty,Personal Care,Generic,Generic Supplier,450.22,546.04,PRODUCT_SYSTEM
200156,Sony Men Model 157,Clothing,Men,Sony,Sony Supplier,903.38,1397.43,PRODUCT_SYSTEM
