location_id,country,state,city,postal_code,region,source_system
300000,USA,Washington,Seattle,44319,West,LOCATION_SYSTEM
300001,USA,Washington,Seattle,13030,West,LOCATION_SYSTEM
300002,USA,Ohio,Dayton,53100,Midwest,LOCATION_SYSTEM
300003,USA,New York,New York,86585,Northeast,LOCATION_SYSTEM
300004,USA,Georgia,Atlanta,73916,South,LOCATION_SYSTEM
300005,USA,Georgia,Atlanta,81908,South,LOCATION_SYSTEM
300006,USA,Washington,Seattle,38912,West,LOCATION_SYSTEM
300007,USA,Ohio,Columbus,54689,Midwest,LOCATION_SYSTEM
300008,USA,Texas,Austin,31324,South,LOCATION_SYSTEM
300009,USA,New York,New York,91513,Northeast,LOCATION_SYSTEM
300010,USA,Ohio,Columbus,24445,Midwest,LOCATION_SYSTEM
300011,USA,Ohio,Dayton,98948,Midwest,LOCATION_SYSTEM
300012,USA,New York,New York,49976,Northeast,LOCATION_SYSTEM
300013,USA,Illinois,Chicago,56006,Midwest,LOCATION_SYSTEM
300014,USA,California,San Francisco,15298,West,LOCATION_SYSTEM
300015,USA,Illinois,Chicago,58429,Midwest,LOCATION_SYSTEM
300016,USA,Texas,Dallas,11271,South,LOCATION_SYSTEM
300017,USA,Texas,Austin,95747,South,LOCATION_SYSTEM
300018,USA,Ohio,Dayton,13343,Midwest,LOCATION_SYSTEM
300019,USA,Illinois,Chicago,80429,Midwest,LOCATION_SYSTEM
300020,USA,Illinois,Chicago,55480,Midwest,LOCATION_SYSTEM
300021,USA,Texas,Austin,34733,South,LOCATION_SYSTEM
300022,USA,Texas,Austin,16612,South,LOCATION_SYSTEM
300023,USA,Washington,Seattle,27817,West,LOCATION_SYSTEM
300024,USA,Ohio,Dayton,94119,Midwest,LOCATION_SYSTEM
300025,USA,Washington,Seattle,30935,West,LOCATION_SYSTEM
300026,USA,Texas,Austin,46506,South,LOCATION_SYSTEM
300027,USA,New York,New York,11258,Northeast,LOCATION_SYSTEM
300028,USA,Washington,Seattle,30515,West,LOCATION_SYSTEM
300029,USA,Massachusetts,Boston,48813,Northeast,LOCATION_SYSTEM
300030,USA,Massachusetts,Boston,51445,Northeast,LOCATION_SYSTEM
300031,USA,Ohio,Dayton,19871,Midwest,LOCATION_SYSTEM
300032,USA,Texas,Dallas,62884,South,LOCATION_SYSTEM
300033,USA,New York,New York,28062,Northeast,LOCATION_SYSTEM
300034,USA,Washington,Seattle,54067,West,LOCATION_SYSTEM
300035,USA,Ohio,Dayton,83481,Midwest,LOCATION_SYSTEM
300036,USA,Georgia,Atlanta,41070,South,LOCATION_SYSTEM
300037,USA,Texas,Austin,17001,South,LOCATION_SYSTEM
300038,USA,Ohio,Dayton,79191,Midwest,LOCATION_SYSTEM
300039,USA,California,San Francisco,82103,West,LOCATION_SYSTEM
300040,USA,New York,New York,52341,Northeast,LOCATION_SYSTEM
300041,USA,Texas,Austin,18506,South,LOCATION_SYSTEM
300042,USA,Georgia,Atlanta,39646,South,LOCATION_SYSTEM
300043,USA,Texas,Austin,60224,South,LOCATION_SYSTEM
300044,USA,Georgia,Atlanta,49008,South,LOCATION_SYSTEM
300045,USA,Washington,Seattle,96681,West,LOCATION_SYSTEM
300046,USA,Illinois,Chicago,50161,Midwest,LOCATION_SYSTEM
300047,USA,Texas,Dallas,22978,South,LOCATION_SYSTEM
300048,USA,Ohio,Dayton,26504,Midwest,LOCATION_SYSTEM
300049,USA,Georgia,Atlanta,25213,South,LOCATION_SYSTEM
300050,USA,Texas,Austin,13534,South,LOCATION_SYSTEM
300051,USA,Georgia,Atlanta,74143,South,LOCATION_SYSTEM
300052,USA,Illinois,Chicago,95579,Midwest,LOCATION_SYSTEM
300053,USA,California,San Francisco,78109,West,LOCATION_SYSTEM
300054,USA,Texas,Dallas,92619,South,LOCATION_SYSTEM
300055,USA,California,San Francisco,74610,West,LOCATION_SYSTEM
300056,USA,Ohio,Columbus,94400,Midwest,LOCATION_SYSTEM
300057,USA,New York,New York,78289,Northeast,LOCATION_SYSTEM
300058,USA,Illinois,Chicago,27826,Midwest,LOCATION_SYSTEM
300059,USA,Ohio,Dayton,78275,Midwest,LOCATION_SYSTEM
300060,USA,Georgia,Atlanta,32543,South,LOCATION_SYSTEM
300061,USA,New York,New York,85866,Northeast,LOCATION_SYSTEM
300062,USA,Georgia,Atlanta,74860,South,LOCATION_SYSTEM
300063,USA,Georgia,Atlanta,35157,South,LOCATION_SYSTEM
300064,USA,Washington,Seattle,82916,West,LOCATION_SYSTEM
300065,USA,Texas,Dallas,32844,South,LOCATION_SYSTEM
300066,USA,Georgia,Atlanta,43062,South,LOCATION_SYSTEM
300067,USA,Massachusetts,Boston,12161,Northeast,LOCATION_SYSTEM
300068,USA,New York,New York,44754,Northeast,LOCATION_SYSTEM
300069,USA,Texas,Austin,62702,South,LOCATION_SYSTEM
300070,USA,Massachusetts,Boston,91867,Northeast,LOCATION_SYSTEM
300071,USA,Ohio,Dayton,25642,Midwest,LOCATION_SYSTEM
300072,USA,New York,New York,56163,Northeast,LOCATION_SYSTEM
300073,USA,Ohio,Dayton,22493,Midwest,LOCATION_SYSTEM
300074,USA,New York,New York,72631,Northeast,LOCATION_SYSTEM
300075,USA,California,San Francisco,46402,West,LOCATION_SYSTEM
300076,USA,New York,New York,55584,Northeast,LOCATION_SYSTEM
300077,USA,Ohio,Dayton,38892,Midwest,LOCATION_SYSTEM
300078,USA,Ohio,Columbus,64813,Midwest,LOCATION_SYSTEM
300079,USA,Massachusetts,Boston,26063,Northeast,LOCATION_SYSTEM
300080,USA,California,San Francisco,69994,West,LOCATION_SYSTEM
